column,type,description,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Type,ColCheck,n_unique,n_missing,pct_missing
GNRH2.10708.3.3,numeric,Progonadoliberin-2 (GNRH2),10708-3,SL007007,Progonadoliberin-2,GON2,O43555,2797,GNRH2,Human,Protein,PASS,112,0,0
ZPBP2.10710.23.3,numeric,Zona pellucida-binding protein 2 (ZPBP2),10710-23,SL012618,Zona pellucida-binding protein 2,ZPBP2,Q6X784,124626,ZPBP2,Human,Protein,PASS,75,0,0
CD300LB.10713.151.3,numeric,CMRF35-like molecule 7 (CD300LB),10713-151,SL017073,CMRF35-like molecule 7,CLM7,A8K4G0,124599,CD300LB,Human,Protein,PASS,83,0,0
ACE.10714.7.3,numeric,Angiotensin-converting enzyme (ACE),10714-7,SL000269,Angiotensin-converting enzyme,ACE,P12821,1636,ACE,Human,Protein,PASS,152,0,0
X.10715.5.3,numeric,,,,,,,,,,,,152,0,0
PSMD5.10716.35.3,numeric,26S proteasome non-ATPase regulatory subunit 5 (PSMD5),10716-35,SL010942,26S proteasome non-ATPase regulatory subunit 5,PSMD5,Q16401,5711,PSMD5,Human,Protein,PASS,96,0,0
HSPA1A.10721.76.3,numeric,Heat shock 70 kDa protein 1A (HSPA1A),10721-76,SL000451,Heat shock 70 kDa protein 1A,HSP 70,P0DMV8,3303,HSPA1A,Human,Protein,PASS,152,0,0
SYK.10722.13.3,numeric,,,,,,,,,,,,152,0,0
X.10723.41.3,numeric,,,,,,,,,,,,150,0,0
HS3ST5.10731.10.3,numeric,,,,,,,,,,,,152,0,0
GAL3ST2.10734.339.3,numeric,,,,,,,,,,,,148,0,0
SERPINB1.10737.96.3,numeric,Leukocyte elastase inhibitor (SERPINB1),10737-96,SL005397,Leukocyte elastase inhibitor,Serpin B1,P30740,1992,SERPINB1,Human,Protein,PASS,149,0,0
PCDHB2.10748.216.3,numeric,Protocadherin beta-2 (PCDHB2),10748-216,SL018468,Protocadherin beta-2,PCDB2,Q9Y5E7,56133,PCDHB2,Human,Protein,PASS,100,0,0
HSPA1A.10749.18.3,numeric,Heat shock 70 kDa protein 1A (HSPA1A),10749-18,SL000451,Heat shock 70 kDa protein 1A,HSP 70,P0DMV8,3303,HSPA1A,Human,Protein,PASS,149,0,0
CDYL2.10752.8.3,numeric,Chromodomain Y-like protein 2 (CDYL2),10752-8,SL018591,Chromodomain Y-like protein 2,CDYL2,Q8N8U2,124359,CDYL2,Human,Protein,PASS,124,0,0
ADAM7.10753.31.3,numeric,Disintegrin and metalloproteinase domain-containing protein 7 (ADAM7),10753-31,SL018585,Disintegrin and metalloproteinase domain-containing protein 7,ADAM7,Q9H2U9,8756,ADAM7,Human,Protein,PASS,99,0,0
PROK2.10754.113.3,numeric,Prokineticin-2 (PROK2),10754-113,SL005237,Prokineticin-2,Prokineticin-2,Q9HC23,60675,PROK2,Human,Protein,PASS,136,0,0
