column,type,description,n_unique,n_missing,pct_missing,levels
Volume_mm3.ctx-lh-caudalanteriorcingulate,numeric,Volume (mm³) of region: ctx-lh-caudalanteriorcingulate,216,0,0,
Volume_mm3.ctx-lh-caudalmiddlefrontal,numeric,Volume (mm³) of region: ctx-lh-caudalmiddlefrontal,252,0,0,
Volume_mm3.ctx-lh-cuneus,numeric,Volume (mm³) of region: ctx-lh-cuneus,231,0,0,
Volume_mm3.ctx-lh-entorhinal,numeric,Volume (mm³) of region: ctx-lh-entorhinal,233,0,0,
Volume_mm3.ctx-lh-frontalpole,numeric,Volume (mm³) of region: ctx-lh-frontalpole,156,0,0,
Volume_mm3.ctx-lh-fusiform,numeric,Volume (mm³) of region: ctx-lh-fusiform,267,0,0,
Volume_mm3.ctx-lh-inferiorparietal,numeric,Volume (mm³) of region: ctx-lh-inferiorparietal,277,0,0,
Volume_mm3.ctx-lh-inferiortemporal,numeric,Volume (mm³) of region: ctx-lh-inferiortemporal,284,0,0,
Volume_mm3.ctx-lh-insula,numeric,Volume (mm³) of region: ctx-lh-insula,253,0,0,
Volume_mm3.ctx-lh-isthmuscingulate,numeric,Volume (mm³) of region: ctx-lh-isthmuscingulate,212,0,0,
Volume_mm3.ctx-lh-lateraloccipital,numeric,Volume (mm³) of region: ctx-lh-lateraloccipital,275,0,0,
Volume_mm3.ctx-lh-lateralorbitofrontal,numeric,Volume (mm³) of region: ctx-lh-lateralorbitofrontal,249,0,0,
Volume_mm3.ctx-lh-lingual,numeric,Volume (mm³) of region: ctx-lh-lingual,275,0,0,
Volume_mm3.ctx-lh-medialorbitofrontal,numeric,Volume (mm³) of region: ctx-lh-medialorbitofrontal,244,0,0,
Volume_mm3.ctx-lh-middletemporal,numeric,Volume (mm³) of region: ctx-lh-middletemporal,266,0,0,
Volume_mm3.ctx-lh-paracentral,numeric,Volume (mm³) of region: ctx-lh-paracentral,230,0,0,
Volume_mm3.ctx-lh-parahippocampal,numeric,Volume (mm³) of region: ctx-lh-parahippocampal,206,0,0,
Volume_mm3.ctx-lh-parsopercularis,numeric,Volume (mm³) of region: ctx-lh-parsopercularis,244,0,0,
Volume_mm3.ctx-lh-parsorbitalis,numeric,Volume (mm³) of region: ctx-lh-parsorbitalis,198,0,0,
Volume_mm3.ctx-lh-parstriangularis,numeric,Volume (mm³) of region: ctx-lh-parstriangularis,237,0,0,
Volume_mm3.ctx-lh-pericalcarine,numeric,Volume (mm³) of region: ctx-lh-pericalcarine,228,0,0,
Volume_mm3.ctx-lh-postcentral,numeric,Volume (mm³) of region: ctx-lh-postcentral,275,0,0,
Volume_mm3.ctx-lh-posteriorcingulate,numeric,Volume (mm³) of region: ctx-lh-posteriorcingulate,215,0,0,
Volume_mm3.ctx-lh-precentral,numeric,Volume (mm³) of region: ctx-lh-precentral,275,0,0,
