column,type,description,n_unique,n_missing,pct_missing,levels
Volume_mm3.ctx-rh-paracentral,numeric,Volume (mm³) of region: ctx-rh-paracentral,183,0,0,
Volume_mm3.ctx-rh-parahippocampal,numeric,Volume (mm³) of region: ctx-rh-parahippocampal,154,0,0,
Volume_mm3.ctx-rh-parsopercularis,numeric,Volume (mm³) of region: ctx-rh-parsopercularis,187,0,0,
Volume_mm3.ctx-rh-parsorbitalis,numeric,Volume (mm³) of region: ctx-rh-parsorbitalis,172,0,0,
Volume_mm3.ctx-rh-parstriangularis,numeric,Volume (mm³) of region: ctx-rh-parstriangularis,188,0,0,
Volume_mm3.ctx-rh-pericalcarine,numeric,Volume (mm³) of region: ctx-rh-pericalcarine,178,0,0,
Volume_mm3.ctx-rh-postcentral,numeric,Volume (mm³) of region: ctx-rh-postcentral,206,0,0,
Volume_mm3.ctx-rh-posteriorcingulate,numeric,Volume (mm³) of region: ctx-rh-posteriorcingulate,166,0,0,
Volume_mm3.ctx-rh-precentral,numeric,Volume (mm³) of region: ctx-rh-precentral,211,0,0,
Volume_mm3.ctx-rh-precuneus,numeric,Volume (mm³) of region: ctx-rh-precuneus,205,0,0,
Volume_mm3.ctx-rh-rostralanteriorcingulate,numeric,Volume (mm³) of region: ctx-rh-rostralanteriorcingulate,174,0,0,
Volume_mm3.ctx-rh-rostralmiddlefrontal,numeric,Volume (mm³) of region: ctx-rh-rostralmiddlefrontal,215,0,0,
Volume_mm3.ctx-rh-superiorfrontal,numeric,Volume (mm³) of region: ctx-rh-superiorfrontal,214,0,0,
Volume_mm3.ctx-rh-superiorparietal,numeric,Volume (mm³) of region: ctx-rh-superiorparietal,212,0,0,
Volume_mm3.ctx-rh-superiortemporal,numeric,Volume (mm³) of region: ctx-rh-superiortemporal,205,0,0,
Volume_mm3.ctx-rh-supramarginal,numeric,Volume (mm³) of region: ctx-rh-supramarginal,211,0,0,
Volume_mm3.ctx-rh-temporalpole,numeric,Volume (mm³) of region: ctx-rh-temporalpole,177,0,0,
Volume_mm3.ctx-rh-transversetemporal,numeric,Volume (mm³) of region: ctx-rh-transversetemporal,120,0,0,
Volume_mm3.non-WM-hypointensities,numeric,Volume (mm³) of region: non-WM-hypointensities,8,205,90.71,
